"","Team","W","L","D"
"1","Almeria",0.230769230769231,0.538461538461538,0.230769230769231
"2","Athletic Bilbao",0.538461538461538,0.307692307692308,0.153846153846154
"3","Atletico Madrid",0.846153846153846,0.0769230769230769,0.0769230769230769
"4","Barcelona",0.923076923076923,0,0.0769230769230769
"5","Celta Vigo",0.230769230769231,0.538461538461538,0.230769230769231
"6","Elche",0.230769230769231,0.384615384615385,0.384615384615385
"7","Espanyol",0.307692307692308,0.461538461538462,0.230769230769231
"8","Getafe",0.461538461538462,0.384615384615385,0.153846153846154
"9","Granada",0.384615384615385,0.461538461538462,0.153846153846154
"10","Levante",0.307692307692308,0.307692307692308,0.384615384615385
"11","Malaga",0.230769230769231,0.461538461538462,0.307692307692308
"12","Osasuna",0.230769230769231,0.692307692307692,0.0769230769230769
"13","Rayo Vallecano",0.307692307692308,0.692307692307692,0
"14","Real Betis",0.153846153846154,0.615384615384615,0.230769230769231
"15","Real Madrid",0.769230769230769,0.153846153846154,0.0769230769230769
"16","Real Sociedad",0.307692307692308,0.307692307692308,0.384615384615385
"17","Sevilla",0.307692307692308,0.384615384615385,0.307692307692308
"18","Valencia",0.384615384615385,0.461538461538462,0.153846153846154
"19","Valladolid",0.153846153846154,0.384615384615385,0.461538461538462
"20","Villarreal",0.538461538461538,0.230769230769231,0.230769230769231
"21","(all)",0.392307692307692,0.392307692307692,0.215384615384615
