"","Team","W","L","D"
"1","Almeria",0.285714285714286,0.571428571428571,0.142857142857143
"2","Athletic Bilbao",0.333333333333333,0.666666666666667,0
"3","Atletico Madrid",0.714285714285714,0.142857142857143,0.142857142857143
"4","Barcelona",0.857142857142857,0,0.142857142857143
"5","Celta Vigo",0.5,0.5,0
"6","Elche",0.285714285714286,0.285714285714286,0.428571428571429
"7","Espanyol",0.166666666666667,0.666666666666667,0.166666666666667
"8","Getafe",0.5,0.5,0
"9","Granada",0.5,0.166666666666667,0.333333333333333
"10","Levante",0.428571428571429,0.285714285714286,0.285714285714286
"11","Malaga",0,0.428571428571429,0.571428571428571
"12","Osasuna",0.166666666666667,0.833333333333333,0
"13","Rayo Vallecano",0.285714285714286,0.714285714285714,0
"14","Real Betis",0,0.833333333333333,0.166666666666667
"15","Real Madrid",0.666666666666667,0.166666666666667,0.166666666666667
"16","Real Sociedad",0.142857142857143,0.428571428571429,0.428571428571429
"17","Sevilla",0.142857142857143,0.428571428571429,0.428571428571429
"18","Valencia",0.333333333333333,0.5,0.166666666666667
"19","Valladolid",0.142857142857143,0.428571428571429,0.428571428571429
"20","Villarreal",0.5,0.333333333333333,0.166666666666667
"21","(all)",0.346153846153846,0.438461538461538,0.215384615384615
