"","Team","L","D","W","Total"
"1","Almeria",7,3,3,13
"2","Athletic Bilbao",4,2,7,13
"3","Atletico Madrid",1,1,11,13
"4","Barcelona",0,1,12,13
"5","Celta Vigo",7,3,3,13
"6","Elche",5,5,3,13
"7","Espanyol",6,3,4,13
"8","Getafe",5,2,6,13
"9","Granada",6,2,5,13
"10","Levante",4,5,4,13
"11","Malaga",6,4,3,13
"12","Osasuna",9,1,3,13
"13","Rayo Vallecano",9,0,4,13
"14","Real Betis",8,3,2,13
"15","Real Madrid",2,1,10,13
"16","Real Sociedad",4,5,4,13
"17","Sevilla",5,4,4,13
"18","Valencia",6,2,5,13
"19","Valladolid",5,6,2,13
"20","Villarreal",3,3,7,13
"21","(all)",102,56,102,260
